"position","game_title","key","cited"
"21","Kingdom Hearts","kingdomhearts","1","['popular-mechanics']"
"21","Ninja Gaiden","ninjagaiden","1","['slant-magazine']"
"20","System Shock 2","systemshock2","1","['ign-2019']"
"20","Shovel Knight: Treasure Trove","shovelknighttreasuretrove","1","['opencrict-2020']"
"20","Double Dragon","doubledragon","1","['popular-mechanics']"
"20","Viewtiful Joe","viewtifuljoe","1","['slant-magazine']"
"19","Resident Evil 2 (Remake)","residentevil2remake","1","['ign-2019']"
"19","Bayonetta 1+2 - Switch Collection","bayonetta12switchcollection","1","['opencrict-2020']"
"19","Streets of Rage 2","streetsofrage2","1","['slant-magazine']"
"18","Pistol Whip","pistolwhip","1","['opencrict-2020']"
"18","Mike Tyson's Punch Out","miketysonspunchout","1","['popular-mechanics']"
"18","Hotline Miami","hotlinemiami","1","['slant-magazine']"
"17","Madden NFL 2004","maddennfl2004","1","['metacrict-2020']"
"17","Dead Cells","deadcells","1","['opencrict-2020']"
"17","Phantasy Star IV: The End of the Millennium","phantasystarivtheendofthemillennium","1","['slant-magazine']"
"16","Contra","contra","1","['ign-2019']"
"16","Gears of War","gearsofwar","1","['metacrict-2020']"
"16","Rez Infinite","rezinfinite","1","['opencrict-2020']"
"16","Prince of Persia: Sands of Time","princeofpersiasandsoftime","1","['popular-mechanics']"
"15","Guacamelee! Super Turbo Championship Edition","guacameleesuperturbochampionshipedition","1","['opencrict-2020']"
"15","Paper Mario: The Thousand-Year Door","papermariothethousandyeardoor","1","['slant-magazine']"
"14","Sid Meier's Civilization II","sidmeierscivilizationii","1","['metacrict-2020']"
"14","The Legend of Zelda: A Link Between Worlds","thelegendofzeldaalinkbetweenworlds","1","['opencrict-2020']"
"14","Cuphead","cuphead","1","['popular-mechanics']"
"14","Elite Beat Agents","elitebeatagents","1","['slant-magazine']"
"13","Thief II: The Metal Age","thiefiithemetalage","1","['ign-2019']"
"13","Horizon Zero Dawn","horizonzerodawn","1","['opencrict-2020']"
"13","Twisted Metal","twistedmetal","1","['popular-mechanics']"
"13","Missile Command","missilecommand","1","['slant-magazine']"
"12","Sonic Mania Plus","sonicmaniaplus","1","['opencrict-2020']"
"12","Dead Space","deadspace","1","['popular-mechanics']"
"11","Rez Infinite (VR)","rezinfinitevr","1","['opencrict-2020']"
"11","Star Fox 64","starfox64","2","['popular-mechanics', 'slant-magazine']"
"11","Timesplitters 2","timesplitters2","1","['popular-mechanics']"
"10","League of Legends","leagueoflegends","1","['ign-2019']"
"10","What Remains of Edith Finch","whatremainsofedithfinch","1","['opencrict-2020']"
"10","Soulcalibur 2","soulcalibur2","1","['popular-mechanics']"
"10","Superhot","superhot","1","['slant-magazine']"
"9","Ninja Gaiden Black","ninjagaidenblack","1","['metacrict-2020']"
"9","Tales from the Borderlands - Season One","talesfromtheborderlandsseasonone","1","['opencrict-2020']"
"9","Xenoblade Chronicles","xenobladechronicles","1","['slant-magazine']"
"8","Burnout 3: Takedown","burnout3takedown","2","['ign-2019', 'metacrict-2020']"
"8","Shovel Knight","shovelknight","1","['opencrict-2020']"
"8","Dungeon Master","dungeonmaster","1","['popular-mechanics']"
"8","Ikaruga","ikaruga","1","['slant-magazine']"
"7","Street Fighter IV","streetfighteriv","1","['metacrict-2020']"
"7","Devil May Cry 5","devilmaycry5","1","['opencrict-2020']"
"7","Cart Life","cartlife","1","['slant-magazine']"
"6","Monkey Island 2: LeChuck's Revenge","monkeyisland2lechucksrevenge","1","['ign-2019']"
"6","Super Mario Advance 4: Super Mario Bros. 3","supermarioadvance4supermariobros3","1","['metacrict-2020']"
"6","Fire Emblem: Three Houses","fireemblemthreehouses","1","['opencrict-2020']"
"6","Hellblade: Senuaï¿½s Sacrifice","hellbladesenuaï½ssacrifice","1","['slant-magazine']"
"5","Assassin's Creed IV: Black Flag","assassinscreedivblackflag","1","['ign-2019']"
"5","Jet Grind Radio","jetgrindradio","1","['metacrict-2020']"
"5","Legends of Runeterra","legendsofruneterra","1","['opencrict-2020']"
"4","The Binding of Isaac: Rebirth","thebindingofisaacrebirth","1","['opencrict-2020']"
"4","Day of the Tentacle","dayofthetentacle","1","['popular-mechanics']"
"4","Conkerï¿½s Bad Fur Day","conkerï½sbadfurday","1","['slant-magazine']"
"3","Forza Motorsport 6","forzamotorsport6","1","['opencrict-2020']"
"3","Hitman 2","hitman2","1","['slant-magazine']"
"2","Tom Clancy's Splinter Cell Chaos Theory","tomclancyssplintercellchaostheory","1","['metacrict-2020']"
"2","Stephen's Sausage Roll","stephenssausageroll","1","['opencrict-2020']"
"2","Fire Emblem: Awakening","fireemblemawakening","1","['popular-mechanics']"
"2","Spec Ops: The Line","specopstheline","1","['slant-magazine']"
"1","Borderlands 2","borderlands2","1","['ign-2019']"
"1","Gotta Protectors","gottaprotectors","1","['opencrict-2020']"
"1","Shenmue II","shenmueii","1","['popular-mechanics']"
"1","The Talos Principle","thetalosprinciple","1","['slant-magazine']"
"0","Pokémon Go","pokémongo","1","['ign-2019']"
